id,d_elect,mean_Z,del_Z,mode_Z,L2_norm,L3_norm,mean_group,del_group,mode_group,mean_period,del_period,mode_period,mean_val,del_val,mode_val,mean_electroneg,del_electroneg,mode_electroneg,entropy,cell_area,n_metal,mag_state
Fe2S2-0a052d50ac61,6,21,5,21,0.707,0.63,12,8,12,3.5,0.5,3.5,7,1,7,2.205,0.375,2.205,0.693,11.87946,2,1
S2V2-adad9799de05,3,19.5,3.5,19.5,0.707,0.63,10.5,11,10.5,3.5,0.5,3.5,5.5,0.5,5.5,2.105,0.475,2.105,0.693,12.64062,2,1
BrClV-878148656c6a,3,25,6.667,25,0.577,0.481,13,10.667,13,3.667,0.444,3.667,6.333,0.889,6.333,2.583,0.636,2.583,1.099,12.17251,1,1
Cl2Fe2-c233ed259213,6,21.5,4.5,21.5,0.707,0.63,12.5,9,12.5,3.5,0.5,3.5,7.5,0.5,7.5,2.495,0.665,2.495,0.693,8.95381,2,1
In2Te2-49131827d51a,0,50.5,1.5,50.5,0.707,0.63,14.5,3,14.5,5,0,5,4.5,1.5,4.5,1.94,0.16,1.94,0.693,36.2019,2,-1
Al2Te4-3426159e38da,0,39,17.333,52,0.745,0.693,15,2.667,16,4.333,0.889,5,5,1.333,6,1.937,0.218,2.1,0.637,24.29604,2,-1
Br2Mn2-2166878e6b59,5,30,5,30,0.707,0.63,12,10,12,4,0,4,7,0,7,2.255,0.705,2.255,0.693,10.77299,2,1
Sc2Se2-787760c30b65,1,27.5,6.5,27.5,0.707,0.63,9.5,13,9.5,4,0,4,4.5,1.5,4.5,1.955,0.595,1.955,0.693,16.63161,2,1
Ca2I2-946217a67549,0,36.5,16.5,36.5,0.707,0.63,9.5,15,9.5,4.5,0.5,4.5,4.5,2.5,4.5,1.83,0.83,1.83,0.693,24.25019,2,1
Cr2F2-29321554cfde,5,16.5,7.5,16.5,0.707,0.63,11.5,11,11.5,3,1,3,6.5,0.5,6.5,2.82,1.16,2.82,0.693,10.70732,2,1
Mn2O2-6a0e9471bfec,5,16.5,8.5,16.5,0.707,0.63,11.5,9,11.5,3,1,3,6.5,0.5,6.5,2.495,0.945,2.495,0.693,13.91223,2,1
F2Mo2-88413bba202f,5,25.5,16.5,25.5,0.707,0.63,11.5,11,11.5,3.5,1.5,3.5,6.5,0.5,6.5,3.07,0.91,3.07,0.693,12.4727,2,1
Te2Ti2-ab4d9d152e7a,2,37,15,37,0.707,0.63,10,12,10,4.5,0.5,4.5,5,1,5,1.82,0.28,1.82,0.693,18.17188,2,1
Mn2Se2-2d3aa76e2b84,5,29.5,4.5,29.5,0.707,0.63,11.5,9,11.5,4,0,4,6.5,0.5,6.5,2.05,0.5,2.05,0.693,14.89036,2,1
