id,mean_Z,del_Z,mode_Z,L2_norm,L3_norm,mean_grp,del_grp,mode_grp,mean_period,del_period,mode_period,mean_valelec,del_valelec,mode_valelec,mean_electroneg,del_electroneg,mode_electroneg,stoichio_entropy,cell_area,hform,label
Cd2P2Te6-d839f9ec2709,43.8,11.52,52,0.663,0.614,15,2.4,16,4.6,0.64,5,5,1.2,6,2.036,0.138,2.1,0.95,43.81252,-0.06883,1
Ir2Te4-bb90096826f2,60.333,11.111,52,0.745,0.693,13.667,6.222,16,5.333,0.444,5,7,1.333,6,2.133,0.044,2.1,0.637,42.03147,0.20223,-1
Cl2S2V2-59253ed209f0,18.667,2.889,18.667,0.577,0.481,12.667,10.222,12.667,3.333,0.444,3.333,6,0.667,6,2.457,0.551,2.457,1.099,16.14078,-1.03237,1
GeTe2-6b0f6091ec2e,45.333,8.889,52,0.745,0.693,15.333,1.778,16,4.667,0.444,5,5.333,0.889,6,2.07,0.04,2.1,0.637,16.37185,0.06545,-1
Ru2Te2-b985211ee32d,48,4,48,0.707,0.63,12,8,12,5,0,5,7,1,7,2.15,0.05,2.15,0.693,11.24388,0.28609,-1
Sb2Se2-cd869dd2bb7e,42.5,8.5,42.5,0.707,0.63,15.5,1,15.5,4.5,0.5,4.5,5.5,0.5,5.5,2.3,0.25,2.3,0.693,13.82293,0.0387,-1
Br4O4Ti4-e26f88471a0c,21.667,9.111,21.667,0.577,0.481,12.333,11.111,12.333,3.333,0.889,3.333,5.667,1.111,5.667,2.647,0.738,2.647,1.099,33.83712,-2.00054,1
F2Ga2-51b961036fbe,20,11,20,0.707,0.63,15,4,15,3,1,3,5,2,5,2.895,1.085,2.895,0.693,8.94666,-1.58935,1
Fe2I6-c3c3634f1840,46.25,10.125,53,0.791,0.759,14.75,6.75,17,4.75,0.375,5,7.25,0.375,7,2.453,0.311,2.66,0.562,45.95091,-0.02297,1
CuI2-fe13ceb013e7,45,10.667,53,0.745,0.693,15,5.333,17,4.667,0.444,5,8.333,1.778,7,2.407,0.338,2.66,0.637,13.45137,-0.05192,1
NiI2-0e87e38a2099,44.667,11.111,53,0.745,0.693,14.667,6.222,17,4.667,0.444,5,8,1.333,7,2.41,0.333,2.66,0.637,13.64702,-0.12969,1
TlS2-fd64e76f8378,37.667,28.889,16,0.745,0.693,15,2.667,16,4,1.333,3,5,1.333,6,2.26,0.427,2.58,0.637,14.14559,0.31003,-1
F2Nb2-ba6248010874,25,16,25,0.707,0.63,11,12,11,3.5,1.5,3.5,6,1,6,2.79,1.19,2.79,0.693,7.39861,-1.88395,1
W2Te6-92e89fedd55f,57.5,8.25,52,0.791,0.759,13.5,7.5,16,5.25,0.375,5,6,0,6,2.165,0.097,2.1,0.562,23.37585,0.08609,-1
Y2Br6-fd5f6e2221ca,36,1.5,35,0.791,0.759,13.5,10.5,17,4.25,0.375,4,6,1.5,7,2.525,0.653,2.96,0.562,45.48725,-1.96328,1
Fe2S2-17234776d683,21,5,21,0.707,0.63,12,8,12,3.5,0.5,3.5,7,1,7,2.205,0.375,2.205,0.693,10.11451,-0.0937,1
NO2Zr2-a77b9781ca4b,20.6,15.52,40,0.6,0.514,11,11.2,4,3.2,1.44,5,5,0.8,4,2.516,0.949,1.33,1.055,9.16025,-2.61573,1
RhO2-b9d70801de3b,20.333,16.444,8,0.745,0.693,13.667,6.222,16,3,1.333,2,7,1.333,6,3.053,0.516,3.44,0.637,11.44522,-0.37519,1
PbTe2-dbf3271b4bb1,62,13.333,52,0.745,0.693,15.333,1.778,16,5.333,0.444,5,5.333,0.889,6,2.023,0.102,2.1,0.637,19.34482,0.14264,-1
WBr2-5e348444aa2e,48,17.333,35,0.745,0.693,13.333,9.778,17,4.667,0.889,4,6.667,0.444,7,2.76,0.267,2.96,0.637,10.26184,0.30385,-1
SrTe2-0566c4ee56c9,47.333,6.222,52,0.745,0.693,11.333,12.444,16,5,0,5,4.667,1.778,6,1.717,0.511,2.1,0.637,13.89491,-0.35867,1
BiClTe-968a6902b7f5,50.667,22.444,50.667,0.577,0.481,16,1.333,16,4.667,1.111,4.667,6,0.667,6,2.427,0.489,2.427,1.099,16.03991,-0.59785,1
CrF2-a3fbf9c28c81,14,6.667,9,0.745,0.693,13.333,9.778,17,2.667,0.889,2,6.667,0.444,7,3.207,1.031,3.98,0.637,7.22389,-1.73237,1
GeI2-694ac91aec01,46,9.333,53,0.745,0.693,16,2.667,17,4.667,0.444,5,6,1.333,7,2.443,0.289,2.66,0.637,21.45463,-0.20962,1
Cl2Mn2N2-68c49aefd9ef,16.333,6.222,16.333,0.577,0.481,13,8,13,3,0.667,3,6.333,0.889,6.333,2.583,0.689,2.583,1.099,12.01605,-0.46297,1
Cr2I2O2-19903e43bd98,28.333,16.444,28.333,0.577,0.481,13,9.333,13,3.667,1.111,3.667,6.333,0.444,6.333,2.587,0.618,2.587,1.099,13.66681,-1.18333,1
AuSe2-e432388e48ca,49,20,34,0.745,0.693,14.333,4.444,16,4.667,0.889,4,7.667,2.222,6,2.547,0.004,2.55,0.637,8.30657,0.20604,-1
Au2Br6-96385192b63b,46,16.5,35,0.791,0.759,15.5,4.5,17,4.5,0.75,4,8,1.5,7,2.855,0.158,2.96,0.562,41.52849,0.00893,-1
Cr2F2-29321554cfde,16.5,7.5,16.5,0.707,0.63,11.5,11,11.5,3,1,3,6.5,0.5,6.5,2.82,1.16,2.82,0.693,10.70732,-0.55988,1
WBr2-9d7a2ef6b0a9,48,17.333,35,0.745,0.693,13.333,9.778,17,4.667,0.889,4,6.667,0.444,7,2.76,0.267,2.96,0.637,9.36281,0.21127,-1
Co2Te2-1d2c625e6992,39.5,12.5,39.5,0.707,0.63,12.5,7,12.5,4.5,0.5,4.5,7.5,1.5,7.5,1.99,0.11,1.99,0.693,13.24875,-0.01779,1
Sb2Br6-fd1a1303c198,39,6,35,0.791,0.759,16.5,1.5,17,4.25,0.375,4,6.5,0.75,7,2.732,0.341,2.96,0.562,45.00961,-0.63567,1
InI2-3aa3dee224f6,51.667,1.778,53,0.745,0.693,15.667,3.556,17,5,0,5,5.667,1.778,7,2.367,0.391,2.66,0.637,16.75859,-0.41557,1
MnCl2-36192c4a6b20,19.667,3.556,17,0.745,0.693,13.667,8.889,17,3.333,0.444,3,7,0,7,2.623,0.716,3.16,0.637,10.97584,-0.92352,1
Bi2Si6-65cc0a8427a0,31.25,25.875,14,0.791,0.759,14.25,0.75,14,3.75,1.125,3,4.25,0.375,4,1.93,0.045,1.9,0.562,63.69786,0.89814,-1
Ga2Br6-e9e5bee778b6,34,1.5,35,0.791,0.759,16,3,17,4,0,4,6,1.5,7,2.672,0.431,2.96,0.562,40.28648,-0.61344,1
Co2I2N2-8876fed2a0e8,29,16,29,0.577,0.481,13.667,6.222,13.667,3.667,1.111,3.667,7,1.333,7,2.527,0.431,2.527,1.099,11.63917,0.2951,-1
PtF2-2ab881c60144,32,30.667,9,0.745,0.693,14.667,6.222,17,3.333,1.778,2,8,1.333,7,3.413,0.756,3.98,0.637,7.97669,-0.54459,1
H2Si2-8d6b4834e8cd,7.5,6.5,7.5,0.707,0.63,7.5,13,7.5,2,1,2,2.5,1.5,2.5,2.05,0.15,2.05,0.693,13.14118,0.00549,-1
Sc2Se2-e051681f68c8,27.5,6.5,27.5,0.707,0.63,9.5,13,9.5,4,0,4,4.5,1.5,4.5,1.955,0.595,1.955,0.693,21.9504,-1.2579,1
TaH2-c681e9aa77c7,25,32,1,0.745,0.693,2.333,3.556,1,2.667,2.222,1,2.333,1.778,1,1.967,0.311,2.2,0.637,7.10491,0.17101,-1
Ag2Br2Se2-bb959bac6ec5,38.667,5.556,38.667,0.577,0.481,14.667,4.889,14.667,4.333,0.444,4.333,8,2,8,2.48,0.367,2.48,1.099,16.09671,-0.02652,1
ScBr2-78039e746a9a,30.333,6.222,35,0.745,0.693,12.333,12.444,17,4,0,4,5.667,1.778,7,2.427,0.711,2.96,0.637,11.82046,-1.58763,1
BiBr2-54a63b1a003e,51,21.333,35,0.745,0.693,16.333,1.778,17,4.667,0.889,4,6.333,0.889,7,2.647,0.418,2.96,0.637,14.19441,-0.27153,1
BiMoSb-9636a9b7831f,58.667,16.222,58.667,0.577,0.481,12,8,12,5.333,0.444,5.333,5.333,0.444,5.333,2.077,0.056,2.077,1.099,9.53562,0.29383,-1
Ru2S2-dfce911ddf21,30,14,30,0.707,0.63,12,8,12,4,1,4,7,1,7,2.39,0.19,2.39,0.693,13.54052,0.17211,-1
NF2Hf2-a3367f84ac28,33.8,30.56,72,0.6,0.514,11.4,11.84,4,3.6,1.92,6,5.4,1.28,4,2.72,1.136,1.3,1.055,8.91378,-2.38174,1
ReBr2-4594d5fb44df,48.333,17.778,35,0.745,0.693,13.667,8.889,17,4.667,0.889,4,7,0,7,2.607,0.471,2.96,0.637,10.34824,0.53292,-1
N2Nb3-accf60fed3c0,27.4,16.32,41,0.721,0.654,9,9.6,5,3.8,1.44,5,5,0,5,2.176,0.691,1.6,0.673,7.51019,-0.40135,1
BiMoSb-7b27fe859033,58.667,16.222,58.667,0.577,0.481,12,8,12,5.333,0.444,5.333,5.333,0.444,5.333,2.077,0.056,2.077,1.099,9.83318,0.26363,-1
SnI2-7f0ca28e3229,52,1.333,53,0.745,0.693,16,2.667,17,5,0,5,6,1.333,7,2.427,0.311,2.66,0.637,24.89212,-0.38137,1
Re2Te2-5fbd01cd74db,63.5,11.5,63.5,0.707,0.63,11.5,9,11.5,5.5,0.5,5.5,6.5,0.5,6.5,2,0.1,2,0.693,8.55761,0.71454,-1
Rh2Se6-4e31cd3765d4,36.75,4.125,34,0.791,0.759,14.25,5.25,16,4.25,0.375,4,6.75,1.125,6,2.482,0.101,2.55,0.562,19.11272,-0.13374,1
HfBi2-ed9b447c7b9c,79.333,4.889,83,0.745,0.693,11.333,9.778,15,6,0,6,4.667,0.444,5,1.78,0.32,2.02,0.637,9.84876,-0.07428,1
Fe2Se4-a1da7c614b19,31.333,3.556,34,0.745,0.693,13.333,7.111,16,4,0,4,6.667,0.889,6,2.31,0.32,2.55,0.637,37.46623,0.0749,-1
F2C3Ti4-1912543ecb09,13.778,7.309,22,0.598,0.514,10.222,11.062,4,2.889,0.988,4,4.667,1.037,4,2.419,0.781,1.54,1.061,8.20921,-1.63519,1
F2K2-1a3c550a375a,14,5,14,0.707,0.63,9,16,9,3,1,3,4,3,4,2.4,1.58,2.4,0.693,26.13292,-2.65658,1
Rh2Te2-356a7d184b5b,48.5,3.5,48.5,0.707,0.63,12.5,7,12.5,5,0,5,7.5,1.5,7.5,2.19,0.09,2.19,0.693,15.39141,-0.25994,1
Au2Te2-880b59e10ab3,65.5,13.5,65.5,0.707,0.63,13.5,5,13.5,5.5,0.5,5.5,8.5,2.5,8.5,2.32,0.22,2.32,0.693,16.55596,0.1591,-1
HfS2-2c5e65012601,34.667,24.889,16,0.745,0.693,12,10.667,16,4,1.333,3,5.333,0.889,6,2.153,0.569,2.58,0.637,10.87142,-1.37531,1
Cl2S2Zr2-bfaf06cbed69,24.333,10.444,24.333,0.577,0.481,12.333,11.111,12.333,3.667,0.889,3.667,5.667,1.111,5.667,2.357,0.684,2.357,1.099,18.46275,-1.74916,1
AuBr2-eaa557cef12c,49.667,19.556,35,0.745,0.693,15,5.333,17,4.667,0.889,4,8.333,1.778,7,2.82,0.187,2.96,0.637,14.31779,0.01142,-1
Cl2Rh2S2-a6b02080c19f,26,12.667,26,0.577,0.481,14,6.667,14,3.667,0.889,3.667,7.333,1.111,7.333,2.673,0.324,2.673,1.099,16.42995,-0.61999,1
I2Ru2S2-94601e1f6ead,37.667,14.444,37.667,0.577,0.481,13.667,7.556,13.667,4.333,0.889,4.333,7,0.667,7,2.48,0.187,2.48,1.099,16.67596,-0.177,1
O2Ta2-5ef897688a92,40.5,32.5,40.5,0.707,0.63,10.5,11,10.5,4,2,4,5.5,0.5,5.5,2.47,0.97,2.47,0.693,8.49791,-1.4661,1
Y2Cl6-7a926d84d193,22.5,8.25,17,0.791,0.759,13.5,10.5,17,3.5,0.75,3,6,1.5,7,2.675,0.728,3.16,0.562,42.02037,-2.34463,1
Ga2Te2-d3869e6009c6,41.5,10.5,41.5,0.707,0.63,14.5,3,14.5,4.5,0.5,4.5,4.5,1.5,4.5,1.955,0.145,1.955,0.693,20.01675,-0.17156,1
F2Ge2-aac9cc861c7f,20.5,11.5,20.5,0.707,0.63,15.5,3,15.5,3,1,3,5.5,1.5,5.5,2.995,0.985,2.995,0.693,15.64502,-1.46695,1
Fe2Te2-18809f787f88,39,13,39,0.707,0.63,12,8,12,4.5,0.5,4.5,7,1,7,1.965,0.135,1.965,0.693,13.77406,0.37244,-1
AgO2-3a5e39554d0a,21,17.333,8,0.745,0.693,14.333,4.444,16,3,1.333,2,7.667,2.222,6,2.937,0.671,3.44,0.637,14.20228,0.56216,-1
TlI2-9262180bcdfc,62.333,12.444,53,0.745,0.693,15.667,3.556,17,5.333,0.444,5,5.667,1.778,7,2.313,0.462,2.66,0.637,26.65459,-0.31583,1
HgTe2-dfa075644082,61.333,12.444,52,0.745,0.693,14.667,3.556,16,5.333,0.444,5,4.667,1.778,6,2.067,0.044,2.1,0.637,11.88907,0.24837,-1
O2V2-3aaf90299fb6,15.5,7.5,15.5,0.707,0.63,10.5,11,10.5,3,1,3,5.5,0.5,5.5,2.535,0.905,2.535,0.693,11.574,-1.25738,1
HfAs2-3d18e68af8de,46,17.333,33,0.745,0.693,11.333,9.778,15,4.667,0.889,4,4.667,0.444,5,1.887,0.391,2.18,0.637,11.83991,-0.14767,1
AuBr2-a2be5af7c917,49.667,19.556,35,0.745,0.693,15,5.333,17,4.667,0.889,4,8.333,1.778,7,2.82,0.187,2.96,0.637,14.29347,0.00704,-1
Ni2P2S6-de2432ed42aa,18.2,3.92,16,0.663,0.614,14.6,3.68,16,3.2,0.32,3,6.6,1.36,6,2.368,0.254,2.58,0.95,29.5735,-0.22663,1
Nb2S2-a03ba939c8ac,28.5,12.5,28.5,0.707,0.63,10.5,11,10.5,4,1,4,5.5,0.5,5.5,2.09,0.49,2.09,0.693,8.89734,-0.4656,1
NbSSe-91a283a2d283,30.333,9.556,30.333,0.577,0.481,12.333,9.778,12.333,4,0.667,4,5.667,0.444,5.667,2.243,0.429,2.243,1.099,10.21169,-0.94657,1
Co2Se2-d69f7e092f3e,30.5,3.5,30.5,0.707,0.63,12.5,7,12.5,4,0,4,7.5,1.5,7.5,2.215,0.335,2.215,0.693,11.47299,0.08088,-1
CTi2-9d6a455e18c1,16.667,7.111,22,0.745,0.693,7.333,8.889,4,3.333,0.889,4,4,0,4,1.877,0.449,1.54,0.637,8.09159,-0.05373,1
TiS2-65d41aaec667,18,2.667,16,0.745,0.693,12,10.667,16,3.333,0.444,3,5.333,0.889,6,2.233,0.462,2.58,0.637,9.6891,-1.16442,1
PdH2O2-d38ac266591f,12.8,13.28,1,0.6,0.514,8.8,12.48,1,2.2,1.12,1,4.8,3.04,1,2.696,0.595,2.2,1.055,11.02686,-0.5364,1
Cr2O4-6449869b09d5,13.333,7.111,8,0.745,0.693,12.667,8.889,16,2.667,0.889,2,6,0,6,2.847,0.791,3.44,0.637,13.05369,-1.57009,1
Br2N2Zr2-63d69e4c4075,27.333,13.556,27.333,0.577,0.481,12,10.667,12,3.667,1.111,3.667,5.333,1.111,5.333,2.443,0.742,2.443,1.099,14.91279,-1.70307,1
